settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-13T02:31:02Z,shadow,KXDOGE15M-26SEP122230-30,doge,yes,12,0.76,0.16,0.76,yes,2.72,crypto_fav,243.56
2026-09-13T02:31:02Z,shadow,KXXRP15M-26SEP122230-30,xrp,no,12,0.75,0.16,0.25,no,2.84,crypto_fav,255.56
2026-09-13T02:46:01Z,shadow,KXDOGE15M-26SEP122245-45,doge,yes,11,0.87,0.09,0.87,yes,1.34,crypto_fav,247.28
2026-09-13T02:46:01Z,shadow,KXXRP15M-26SEP122245-45,xrp,yes,12,0.79,0.14,0.79,yes,2.38,crypto_fav,259.28
2026-09-13T03:01:00Z,shadow,KXXRP15M-26SEP122300-00,xrp,yes,12,0.79,0.14,0.79,yes,2.38,crypto_fav,242.45
2026-09-13T03:01:00Z,shadow,KXNEAR15M-26SEP122300-00,near,yes,12,0.82,0.13,0.82,yes,2.03,crypto_fav,254.45
2026-09-13T03:01:00Z,shadow,KXDOGE15M-26SEP122300-00,doge,yes,11,0.83,0.11,0.83,no,-9.24,crypto_fav,254.45
2026-09-13T03:16:00Z,shadow,KXXRP15M-26SEP122315-15,xrp,yes,12,0.83,0.12,0.83,no,-10.08,crypto_fav,225.86
2026-09-13T03:16:00Z,shadow,KXDOGE15M-26SEP122315-15,doge,yes,11,0.84,0.11,0.84,no,-9.35,crypto_fav,225.86
2026-09-13T03:16:00Z,shadow,KXNEAR15M-26SEP122315-15,near,yes,12,0.75,0.16,0.75,no,-9.16,crypto_fav,225.86
2026-09-13T03:31:18Z,shadow,KXDOGE15M-26SEP122330-30,doge,yes,11,0.77,0.14,0.77,no,-8.61,crypto_fav,201.12
2026-09-13T03:31:18Z,shadow,KXNEAR15M-26SEP122330-30,near,yes,11,0.75,0.15,0.75,no,-8.4,crypto_fav,201.12
2026-09-13T03:31:18Z,shadow,KXXRP15M-26SEP122330-30,xrp,no,10,0.76,0.13,0.24,no,2.27,crypto_fav,211.12
2026-09-14T00:16:02Z,shadow,KXXRP15M-26SEP132015-15,xrp,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,206.08
2026-09-14T00:16:02Z,shadow,KXDOGE15M-26SEP132015-15,doge,yes,10,0.75,0.14,0.75,yes,2.36,crypto_fav,216.08
2026-09-14T00:31:02Z,shadow,KXNEAR15M-26SEP132030-30,near,no,11,0.75,0.15,0.25,no,2.6,crypto_fav,203.02
2026-09-14T00:31:02Z,shadow,KXXRP15M-26SEP132030-30,xrp,no,10,0.79,0.12,0.21,no,1.98,crypto_fav,213.02
2026-09-14T00:31:02Z,shadow,KXDOGE15M-26SEP132030-30,doge,no,10,0.75,0.14,0.25,no,2.36,crypto_fav,223.02
2026-09-14T01:01:00Z,shadow,KXNEAR15M-26SEP132100-00,near,no,11,0.75,0.15,0.25,no,2.6,crypto_fav,209.74
2026-09-14T01:01:00Z,shadow,KXXRP15M-26SEP132100-00,xrp,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,220.74
2026-09-14T01:01:00Z,shadow,KXDOGE15M-26SEP132100-00,doge,no,9,0.82,0.1,0.18,no,1.52,crypto_fav,229.74
2026-09-14T01:16:01Z,shadow,KXNEAR15M-26SEP132115-15,near,yes,12,0.75,0.16,0.75,yes,2.84,crypto_fav,216.45
2026-09-14T01:16:01Z,shadow,KXXRP15M-26SEP132115-15,xrp,no,11,0.75,0.15,0.25,no,2.6,crypto_fav,227.45
2026-09-14T01:16:01Z,shadow,KXDOGE15M-26SEP132115-15,doge,yes,10,0.76,0.13,0.76,yes,2.27,crypto_fav,237.45
2026-09-14T01:31:01Z,shadow,KXDOGE15M-26SEP132130-30,doge,no,11,0.83,0.11,0.17,yes,-9.24,crypto_fav,211.5
2026-09-14T01:31:01Z,shadow,KXXRP15M-26SEP132130-30,xrp,no,10,0.86,0.09,0.14,no,1.31,crypto_fav,221.5
2026-09-14T01:31:01Z,shadow,KXNEAR15M-26SEP132130-30,near,no,10,0.79,0.12,0.21,yes,-8.02,crypto_fav,221.5
2026-09-14T01:46:00Z,shadow,KXDOGE15M-26SEP132145-45,doge,no,10,0.87,0.08,0.13,no,1.22,crypto_fav,206.91
2026-09-14T01:46:00Z,shadow,KXXRP15M-26SEP132145-45,xrp,no,9,0.86,0.08,0.14,no,1.18,crypto_fav,215.91
2026-09-14T01:46:00Z,shadow,KXNEAR15M-26SEP132145-45,near,no,9,0.88,0.07,0.12,yes,-7.99,crypto_fav,215.91
2026-09-14T02:01:01Z,shadow,KXXRP15M-26SEP132200-00,xrp,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,203.65
2026-09-14T02:01:01Z,shadow,KXDOGE15M-26SEP132200-00,doge,yes,10,0.75,0.14,0.75,yes,2.36,crypto_fav,213.65
2026-09-14T02:01:01Z,shadow,KXNEAR15M-26SEP132200-00,near,yes,9,0.79,0.11,0.79,yes,1.78,crypto_fav,222.65
2026-09-14T02:16:01Z,shadow,KXXRP15M-26SEP132215-15,xrp,no,11,0.75,0.15,0.25,yes,-8.4,crypto_fav,198.12
2026-09-14T02:16:01Z,shadow,KXDOGE15M-26SEP132215-15,doge,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,209.12
2026-09-14T02:16:01Z,shadow,KXNEAR15M-26SEP132215-15,near,yes,10,0.76,0.13,0.76,yes,2.27,crypto_fav,219.12
2026-09-14T02:31:01Z,shadow,KXNEAR15M-26SEP132230-30,near,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,205.87
2026-09-14T02:31:01Z,shadow,KXDOGE15M-26SEP132230-30,doge,yes,10,0.79,0.12,0.79,yes,1.98,crypto_fav,215.87
2026-09-14T02:31:01Z,shadow,KXXRP15M-26SEP132230-30,xrp,yes,10,0.77,0.13,0.77,yes,2.17,crypto_fav,225.87
2026-09-14T02:46:01Z,shadow,KXXRP15M-26SEP132245-45,xrp,no,11,0.75,0.15,0.25,no,2.6,crypto_fav,212.52
2026-09-14T02:46:01Z,shadow,KXNEAR15M-26SEP132245-45,near,no,10,0.82,0.11,0.18,no,1.69,crypto_fav,222.52
2026-09-14T02:46:01Z,shadow,KXDOGE15M-26SEP132245-45,doge,no,10,0.75,0.14,0.25,no,2.36,crypto_fav,232.52
2026-09-14T03:01:00Z,shadow,KXXRP15M-26SEP132300-00,xrp,yes,11,0.8,0.13,0.8,yes,2.07,crypto_fav,218.17
2026-09-14T03:01:00Z,shadow,KXNEAR15M-26SEP132300-00,near,yes,10,0.81,0.11,0.81,yes,1.79,crypto_fav,228.17
2026-09-14T03:01:00Z,shadow,KXDOGE15M-26SEP132300-00,doge,yes,10,0.81,0.11,0.81,yes,1.79,crypto_fav,238.17
2026-09-14T03:16:00Z,shadow,KXNEAR15M-26SEP132315-15,near,yes,12,0.77,0.15,0.77,yes,2.61,crypto_fav,223.66
2026-09-14T03:16:01Z,shadow,KXDOGE15M-26SEP132315-15,doge,yes,11,0.75,0.15,0.75,yes,2.6,crypto_fav,234.66
2026-09-14T03:16:01Z,shadow,KXXRP15M-26SEP132315-15,xrp,yes,11,0.78,0.14,0.78,yes,2.28,crypto_fav,245.66
2026-09-14T03:31:00Z,shadow,KXDOGE15M-26SEP132330-30,doge,no,12,0.79,0.14,0.21,no,2.38,crypto_fav,230.27
2026-09-14T03:31:00Z,shadow,KXXRP15M-26SEP132330-30,xrp,no,12,0.75,0.16,0.25,yes,-9.16,crypto_fav,230.27
2026-09-14T03:31:00Z,shadow,KXNEAR15M-26SEP132330-30,near,yes,11,0.77,0.14,0.77,yes,2.39,crypto_fav,241.27
2026-09-14T03:46:00Z,shadow,KXNEAR15M-26SEP132345-45,near,no,12,0.78,0.15,0.22,no,2.49,crypto_fav,226.37
2026-09-14T03:46:00Z,shadow,KXDOGE15M-26SEP132345-45,doge,no,10,0.88,0.08,0.12,no,1.12,crypto_fav,236.37
